tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1520.00;E5_0;300.00;13.45;0.00;0.00;E0_0;7.20;0.00;tripinfo_f_0.0;1520.00;f_0.0;0;10003.87;1.03;0.00;798.26;car_0;;1;736.00
2300.00;E5_0;300.00;13.37;258.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.1;2042.00;f_0.1;0;10003.87;0.97;0.00;1297.25;car_0;;2;1216.00
2302.00;E5_0;300.00;12.89;515.00;0.71;E0_0;7.20;0.00;tripinfo_f_0.2;1787.00;f_0.2;0;10003.87;1.01;0.00;1064.22;car_0;;3;961.00
2304.00;E5_0;300.00;13.39;772.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.3;1532.00;f_0.3;0;10003.87;1.04;0.00;809.88;car_0;;1;731.00
2306.00;E5_0;300.00;12.73;1029.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.4;1277.00;f_0.4;0;10003.87;1.02;0.00;554.45;car_0;;1;478.00
3094.00;E5_0;300.00;12.52;1286.00;0.29;E0_0;7.20;0.00;tripinfo_f_0.5;1808.00;f_0.5;0;10003.87;0.92;0.00;1019.55;car_0;;2;931.00
3096.00;E5_0;300.00;13.60;1543.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.6;1553.00;f_0.6;0;10003.87;1.02;0.00;830.95;car_0;;1;735.00
3849.00;E5_0;300.00;12.36;1801.00;1.00;E0_0;7.20;0.00;tripinfo_f_0.7;2048.00;f_0.7;0;10003.87;0.94;0.00;1282.45;car_0;;3;1204.00
3851.00;E5_0;300.00;12.46;2058.00;0.86;E0_0;7.20;0.00;tripinfo_f_0.8;1793.00;f_0.8;0;10003.87;0.97;0.00;1047.59;car_0;;2;953.00
4631.00;E5_0;300.00;12.46;2315.00;0.71;E0_0;7.20;0.00;tripinfo_f_0.9;2316.00;f_0.9;0;10003.87;0.93;0.00;1538.51;car_0;;2;1456.00
4633.00;E5_0;300.00;13.71;2572.00;0.57;E0_0;7.20;0.00;tripinfo_f_0.10;2061.00;f_0.10;0;10003.87;1.05;0.00;1339.44;car_0;;3;1204.00
4635.00;E5_0;300.00;13.23;2829.00;0.43;E0_0;7.20;0.00;tripinfo_f_0.11;1806.00;f_0.11;0;10003.87;1.01;0.00;1084.39;car_0;;2;939.00
4637.00;E5_0;300.00;13.03;3086.00;0.28;E0_0;7.20;0.00;tripinfo_f_0.12;1551.00;f_0.12;0;10003.87;1.02;0.00;828.77;car_0;;1;729.00
4639.00;E5_0;300.00;13.45;3343.00;0.14;E0_0;7.20;0.00;tripinfo_f_0.13;1296.00;f_0.13;0;10003.87;1.06;0.00;574.25;car_0;;1;476.00
